ID,Group,Score
1,1,7.9
2,1,7.72
3,1,8.6
4,1,7.9
5,1,8.95
6,1,8.25
7,1,7.72
8,1,7.9
9,1,8.25
10,1,9.12
11,1,8.95
12,1,7.9
13,1,8.6
14,1,8.25
15,1,8.25
16,1,7.9
17,1,8.6
18,1,8.6
19,1,9.12
20,1,8.95
21,1,8.6
22,1,8.95
23,1,8.6
24,1,8.6
25,1,8.77
26,1,8.25
27,1,7.9
28,1,8.6
29,1,8.25
30,1,9.3
31,1,9.82
32,1,8.77
33,1,6.67
34,1,8.07
35,1,8.07
36,1,7.37
37,1,7.2
38,1,8.6
39,1,7.9
40,1,7.9
41,1,8.95
42,1,8.95
43,1,8.07
44,1,9.65
45,1,10
46,1,8.42
47,1,9.12
48,1,8.25
49,1,7.55
50,1,7.55
51,1,8.95
52,1,7.37
53,1,9.12
54,1,9.3
55,1,8.95
56,1,8.6
57,1,8.07
58,1,9.82
59,1,9.3
60,1,8.25
61,1,9.3
62,1,7.55
63,1,8.95
64,1,8.6
65,1,8.07
66,1,10
1,2,8.6
2,2,8.07
3,2,6.5
4,2,9.3
5,2,7.55
6,2,7.9
7,2,8.07
8,2,7.9
9,2,8.25
10,2,9.12
11,2,8.77
12,2,8.07
13,2,6.67
14,2,7.37
15,2,7.72
16,2,8.42
17,2,8.77
18,2,8.42
19,2,6.32
20,2,8.25
21,2,7.9
22,2,7.37
23,2,8.07
24,2,8.95
25,2,6.85
26,2,9.3
27,2,6.37
28,2,
29,2,7.9
30,2,7.72
31,2,7.72
32,2,8.95
33,2,9.3
34,2,8.42
35,2,7.37
36,2,8.77
37,2,7.72
38,2,8.77
39,2,8.6
40,2,6.5
41,2,7.02
42,2,7.37
43,2,6.35
44,2,10
45,2,6.5
46,2,7.02
47,2,8.07
48,2,8.6
49,2,8.6
50,2,7.2
51,2,7.37
52,2,
53,2,8.42
54,2,7.37
55,2,5.8
56,2,8.51
57,2,8.95
58,2,7.02
59,2,7.55
60,2,7.37
61,2,8.07
62,2,8.42
63,2,7.2
64,2,7.75
65,2,10
66,2,6.5